31.0,35.0,93.0,97.0,99.0,152.0,182.0,271.0,306.0,329.0
Time,Score,Correct
3,-1,True
4,0.16869382560253143,True
34,0.16623900085687637,True
44,0.15597515304883322,True
50,0.16473794355988503,True
124,-1,True
178,-1,True
208,0.0903114527463913,True
209,0.09028226882219315,True
211,0.09031173090140025,True
799,-1,True
830,0.09027855470776558,True
923,0.0902329534292221,True
1852,0.08962535733977954,True
4477,-1,True
4480,0.24455733597278595,True
4487,0.24406878650188446,True
4489,0.24356557925542197,True
4873,0.24385742098093033,True
5257,-1,True
5281,0.16240711510181427,True
8744,-1,True
8749,0.12646624445915222,True
8751,0.1357092410326004,True
8756,0.1393845627705256,True
8761,0.12740357778966427,True
8764,0.13885219693183898,True
8787,0.13104929526646933,True
8995,0.13721240205424173,True
9017,0.1387233678251505,True
9563,0.13987102111180624,True
10482,0.1353146106004715,True
10916,-1,True
10971,0.1280733086168766,True
16917,-1,True
17208,-1,True
17241,-1,True
17294,0.09923238307237625,True
17545,-1,True
17903,0.11211616918444633,True
17915,0.13093877335389456,True
18080,-1,True
18128,-1,True
18154,-1,True
18169,0.11016620770096779,True
18194,-1,True
18261,-1,True
18308,0.1085995167063979,True
18392,-1,True
18413,-1,True
18429,-1,True
18543,-1,True
18574,0.09923730485348238,True
18688,-1,True
18705,-1,True
18871,-1,True
18962,-1,True
18997,-1,True
19000,-1,True
19046,-1,True
19177,-1,True
19184,0.10307484790682793,True
19288,-1,True
19329,0.1306301916949451,True
19330,-1,True
19343,-1,True
19363,-1,True
19374,-1,True
19393,-1,True
19400,0.12080008811317385,True
19404,-1,True
19421,0.15124991554766892,True
19436,0.13878382288385183,True
19473,-1,True
19484,-1,True
19499,0.12122534550726413,True
19534,0.10369467586278916,True
19585,0.11879208257887512,True
19597,-1,True
19599,0.12013825115282088,True
19634,0.12073759133927524,True
19635,-1,True
19643,0.11035468748304993,True
19651,-1,True
19652,-1,True
19663,-1,True
19665,-1,True
19677,-1,True
19684,-1,True
19701,-1,True
19708,-1,True
19709,-1,True
19746,0.11007829769514502,True
19751,-1,True
19770,-1,True
19774,-1,True
19782,-1,True
19798,-1,True
19814,-1,True
19820,-1,True
19833,-1,True
19838,-1,True
19840,-1,True
19851,-1,True
19856,-1,True
19858,-1,True
19871,-1,True
19873,-1,True
19911,-1,True
19948,-1,True
19970,-1,True
19984,-1,True
19994,-1,True
19999,-1,True
20032,-1,True
20037,-1,True
20041,-1,True
20046,0.12038749495986849,True
20067,-1,True
20071,-1,True
20074,-1,True
20099,-1,True
20101,-1,True
20113,-1,True
20122,-1,True
20128,-1,True
20137,-1,True
20139,-1,True
20149,-1,True
20153,-1,True
20154,-1,True
20157,-1,True
20173,-1,True
20197,-1,True
20229,-1,True
20231,-1,True
20240,-1,True
20245,-1,True
20252,-1,True
20261,-1,True
20301,-1,True
20303,-1,True
20313,-1,True
20318,-1,True
20325,-1,True
20335,-1,True
20337,-1,True
20345,-1,True
20399,-1,True
20403,-1,True
20406,-1,True
20407,-1,True
20413,-1,True
20414,-1,True
20418,-1,True
20419,-1,True
20454,-1,True
20487,0.08194027207791806,True
20506,-1,True
20525,-1,True
20537,-1,True
20539,-1,True
20540,-1,True
20565,0.10162091255187988,True
20572,-1,True
20585,0.12675076364539564,True
20607,-1,True
20617,-1,True
20618,-1,True
20631,-1,True
20632,-1,True
20644,-1,True
20651,-1,True
20658,-1,True
20666,-1,True
20673,-1,True
20677,0.1033655496314168,True
20680,-1,True
20685,-1,True
20692,-1,True
20697,-1,True
20701,-1,True
20712,-1,True
20726,-1,True
20733,-1,True
20735,-1,True
20739,-1,True
20743,-1,True
20751,-1,True
20753,-1,True
20755,-1,True
20763,-1,True
20778,-1,True
20780,-1,True
20781,-1,True
20782,-1,True
20789,-1,True
20801,-1,True
20824,-1,True
20825,-1,True
20826,-1,True
20837,-1,True
20838,-1,True
20841,-1,True
20849,-1,True
20855,-1,True
20861,-1,True
20870,-1,True
20888,-1,True
20890,-1,True
20892,-1,True
20894,-1,True
20898,-1,True
20922,-1,True
20938,-1,True
20941,-1,True
20948,-1,True
20958,-1,True
20963,-1,True
20975,-1,True
20980,-1,True
20988,-1,True
21000,-1,True
21007,-1,True
21009,-1,True
21013,-1,True
21016,-1,True
21042,-1,True
21043,-1,True
21062,-1,True
21064,-1,True
21070,-1,True
21080,-1,True
21083,-1,True
21085,-1,True
21097,-1,True
21100,-1,True
21104,-1,True
21109,-1,True
21114,-1,True
21125,-1,True
21128,-1,True
21134,-1,True
21135,-1,True
21140,-1,True
21142,-1,True
21147,-1,True
21151,-1,True
21169,-1,True
21178,-1,True
21179,-1,True
21182,-1,True
21186,-1,True
21187,0.07392914518713951,True
21202,-1,True
21205,-1,True
21209,-1,True
21213,-1,True
21218,-1,True
21220,-1,True
21237,-1,True
21244,-1,True
21264,-1,True
21280,-1,True
21294,-1,True
21296,0.12668236051686108,True
21321,-1,True
21326,-1,True
21331,-1,True
21334,-1,True
21352,-1,True
21355,-1,True
21370,-1,True
21372,-1,True
21374,-1,True
21376,-1,True
21378,-1,True
21380,-1,True
21388,-1,True
21401,-1,True
21404,-1,True
21406,-1,True
21408,-1,True
21418,0.14334086880553515,True
21422,-1,True
21425,-1,True
21442,-1,True
21443,-1,True
21445,-1,True
21448,-1,True
21452,-1,True
21456,-1,True
21458,-1,True
21459,-1,True
21466,-1,True
21476,-1,True
21477,-1,True
21480,-1,True
21483,0.10196961029432713,True
21494,-1,True
21521,0.12973206313326954,True
21533,-1,True
21538,-1,True
21539,-1,True
21546,-1,True
21550,-1,True
21558,-1,True
21559,-1,True
21562,-1,True
21580,-1,True
21581,-1,True
21593,-1,True
21614,-1,True
21615,-1,True
21618,-1,True
21620,-1,True
21622,-1,True
21625,-1,True
21630,-1,True
21631,-1,True
21635,-1,True
21639,-1,True
21654,-1,True
21667,-1,True
21680,-1,True
21688,-1,True
21697,-1,True
21700,-1,True
21715,-1,True
21719,-1,True
21728,-1,True
21730,-1,True
21744,-1,True
21746,-1,True
21750,-1,True
21756,-1,True
21760,-1,True
21764,-1,True
21767,-1,True
21769,-1,True
21776,-1,True
21780,-1,True
21794,-1,True
21796,-1,True
21797,-1,True
21810,-1,True
21811,-1,True
21821,-1,True
21856,-1,True
21859,-1,True
21860,-1,True
21864,-1,True
21865,-1,True
21875,-1,True
21877,-1,True
21879,-1,True
21882,-1,True
21885,-1,True
21886,-1,True
21888,-1,True
21891,-1,True
21892,-1,True
21894,-1,True
21904,-1,True
21909,-1,True
21911,-1,True
21915,-1,True
21920,-1,True
21923,-1,True
21925,-1,True
21934,-1,True
21937,-1,True
21950,-1,True
21962,-1,True
21965,-1,True
21967,-1,True
21971,-1,True
21972,-1,True
21975,-1,True
21976,-1,True
21983,-1,True
21985,-1,True
21988,-1,True
21995,-1,True
21999,-1,True
22001,-1,True
22007,-1,True
22008,-1,True
22014,-1,True
22016,-1,True
22019,-1,True
22022,-1,True
22030,-1,True
22035,-1,True
22041,-1,True
22045,-1,True
22052,0.15565217058174313,True
22057,-1,True
22061,-1,True
22062,-1,True
22067,-1,True
22069,-1,True
22071,-1,True
22075,-1,True
22080,-1,True
22083,-1,True
22086,-1,True
22088,-1,True
22091,-1,True
22094,-1,True
22097,0.16341344852698966,True
22099,-1,True
22100,-1,True
22103,-1,True
22104,-1,True
22111,-1,True
22123,-1,True
22124,-1,True
22129,-1,True
22143,-1,True
22147,-1,True
22148,-1,True
22150,-1,True
22153,-1,True
22155,-1,True
22156,-1,True
22162,-1,True
22165,-1,True
22166,-1,True
22171,-1,True
22173,-1,True
22177,-1,True
22179,-1,True
22181,-1,True
22182,-1,True
22184,-1,True
22187,-1,True
22189,-1,True
22190,-1,True
22204,-1,True
22211,-1,True
22221,-1,True
22230,-1,True
22233,-1,True
22234,-1,True
22241,-1,True
22244,-1,True
22251,-1,True
22253,-1,True
22259,-1,True
22261,-1,True
22265,-1,True
22270,-1,True
22273,-1,True
22275,-1,True
22277,-1,True
22289,-1,True
22291,-1,True
22293,-1,True
22295,-1,True
22297,-1,True
22303,-1,True
22305,-1,True
22315,-1,True
22317,0.15626148427836598,True
22327,-1,True
22329,-1,True
22330,-1,True
22333,-1,True
22337,-1,True
22338,-1,True
22343,-1,True
22347,-1,True
22348,-1,True
22351,-1,True
22355,-1,True
22358,-1,True
22361,-1,True
22362,-1,True
22365,-1,True
22367,-1,True
22371,-1,True
22372,-1,True
22379,-1,True
22380,-1,True
22384,-1,True
22387,-1,True
22393,-1,True
22397,-1,True
22408,-1,True
22411,-1,True
22419,-1,True
22421,-1,True
22423,-1,True
22428,-1,True
22432,-1,True
22441,-1,True
22445,-1,True
22446,-1,True
22449,-1,True
22451,-1,True
22468,-1,True
22471,-1,True
22513,-1,True
22514,-1,True
22523,-1,True
22527,-1,True
22555,-1,True
22556,-1,True
22591,-1,True
22604,-1,True
22724,-1,True
23482,-1,True
24078,-1,True
25095,-1,True
25154,-1,True
26232,-1,True
26257,-1,True
26270,-1,True
26296,-1,True
27030,-1,True
27532,-1,True
28511,-1,True
28516,-1,True
28518,-1,True
28528,-1,True
28531,-1,True
28564,-1,True
28590,-1,True
28640,0.1054208679124713,True
28739,-1,True
29023,-1,True
29202,-1,True
29246,-1,True
33227,-1,True
